attr_tract,HBO,HBShop,HBW,NHB,tothh,retl,manu,offi,gved,othr,totemp
53033020900,17622.94614120205,991.886525704988,524.0127583763883,1591.0694399516992,1408,434,35,1143,1207,36,2855
53033021000,3963.9755229513057,4076.616845649223,747.6092262090112,8199.740315223624,2163,174,0,831,505,190,1700
53033021100,53920.109509278795,299.625415250602,763.2398568293933,13707.340855264589,1584,0,85,660,1066,180,2003
53033021300,0,0,0,11726.196819650573,1744,0,0,689,73,68,830
53033021400,22859.835630207464,5644.632767573093,123.2250000033525,19736.79348056659,1404,163,10,248,173,101,695
53033021500,22258.53095509416,1434.44976695673,8.304519217274116,0,1699,0,0,326,0,24,400
53033021600,11014.046742124792,10886.423686085,604.1531237262178,1413.4041311708938,1847,118,0,391,119,248,934
53033021700,3761.80210121207,0,26.08088379269227,4.25,3656,284,30,627,320,306,1567
53033021802,22617.6754657776,15389.57595499224,23965.737127224347,19996.859673634204,2229,573,900,6461,608,1244,9786
53033021803,890.8464163503113,15672.506208765024,20904.516635377942,1475.9083835896147,2027,381,34,1373,569,225,2583
53033021804,16770.29203746537,0,2052.8177718120323,2941.941481330358,1932,31,0,793,1071,123,2083
53033021903,8077.085447535264,1253.8605593498282,11460.93248565527,4985.975553316246,2500,834,152,2630,4487,634,8737
53033021904,3124.8949680019696,0,5942.605714870627,1586.364731788406,1812,364,170,639,128,852,2152
53033021905,2347.152826468502,0,0,688.7456851334152,2206,16,0,926,292,37,1287
53033021906,2023.6844991203373,4.2750000002132,893.4426741289557,79.4897575956586,1633,143,893,1573,0,860,3470
53033022001,745.909808025092,0,0,0,2262,18,0,717,71,110,925
53033022003,16525.74465646672,15391.294889492037,126.63079804423775,1435.7747669572827,1952,0,0,1075,99,26,1350
53033022005,19427.07668579527,17586.03839561155,108.01716601166011,3794.84582690432,2287,1018,55,2640,392,514,4620
53033022006,64715.13967405295,0,1009.704749560062,12392.42297894582,1808,0,0,602,63,89,882
53033022101,752.085129124436,0,0,499.2675645655705,1813,0,0,316,77,86,492
53033022102,372.954904012546,0,0,0,2424,0,0,180,277,147,681
53033022201,2230.0922256217405,0,450.1779513869325,664.752583888854,1710,96,0,171,132,56,454
53033022202,3187.8375880455933,1282.6610835307065,0,964.9567435919258,3160,78,0,858,102,36,1231
53033022203,1.6437499998385627,0,0,20.497702839793323,1896,64,0,250,80,101,819
53033022300,350.73451862159055,21.5658176142788,534.850137550796,15.93451863196856,1002,0,0,424,82,97,615
53033022400,3450.104689890032,4.024999999714552,7588.347392831807,2511.3563590943236,3681,280,30,1278,512,847,2947
53033022500,2939.947670256135,83.2582132401471,2975.985626930975,4758.976652389152,4090,466,439,6363,214,1465,8946
53033022603,2336.5633544786438,16.1000000008027,557.820954292384,1307.8905811657696,2378,0,0,805,546,174,1570
53033022604,10956.925565471634,11761.00834167568,2036.2697537579297,1452.849899538016,1834,903,21,1077,270,186,2458
53033022605,7527.700815871855,4.27500000021322,1393.4556212356651,192.2021157563689,2579,126,2552,3295,0,586,6559
53033022606,8664.930925301614,178.83579334369398,686.3301127250058,4015.9348220078487,2268,25,0,378,99,5,670
53033022701,10859.708164992884,0,4587.19311491253,940.8224960361271,1486,24,708,6158,0,716,7606
53033022702,13110.690271859552,0,0,12579.053661147436,1423,0,0,794,115,36,1104
53033022703,3851.651877651941,539.6832371760612,911.4915156105855,1232.546484736753,857,73,0,995,74,165,1334
53033022801,1518.3133109923472,30.518551422858643,0,1189.3720967004606,3828,0,59,2474,73,30,2983
53033022802,442.82616835339064,52.13757633696512,351.9974851340927,86.01294669231919,2037,5,0,0,72,82,0
53033022803,5625.616035862313,994.5215052543697,37780.69984769215,12766.105232413265,2334,700,2030,45179,2,1012,48924
53033022901,1116.7240783594755,0,30.669882213714533,816.1004280341607,1019,16,0,366,87,13,493
53033022902,1000.3394086984299,15.6250000012664,0,244.98098258451301,2404,0,0,306,75,33,447
53033023000,531.104752504715,12.2250000006096,1135.54564926307,2120.363881581984,1773,297,0,1344,419,230,2309
53033023100,398.900000017509,12.5000000006235,0,341.5809825887344,1419,0,0,67,26,19,132
53033023201,5366.286781679644,1287.2460456371932,762.0152558066474,6133.219612740723,2695,60,0,992,318,0,1576
53033023202,26667.80430382994,1280.8365555740527,729.954420034454,5133.217287410816,1841,408,89,1722,185,29,2433
53033023300,48911.19791950209,807.6788199207965,2.6512217316158,11929.311195953569,2328,213,0,731,234,28,1226
53033023401,9232.032179658589,1500.277616525198,4174.025834589469,2803.210331609565,1543,704,314,5326,1592,1898,9833
53033023403,3.608351811294169,0,875.9408089863767,205.15059407421515,1589,27,0,2771,390,39,5626
53033023404,463.573561812114,0,231.786780906057,0,1174,0,0,87,10,10,175
53033023500,71.6250000035715,0,0,0,1470,0,0,279,94,65,456
53033023601,5354.509392861028,984.6000000270687,4459.46259105977,17537.184945887715,1750,1627,184,4598,392,1187,7988
53033023603,51672.570476403525,25669.82155984211,1093.800000054552,544.9250000160052,2566,51,0,1252,287,74,1831
53033023604,1378.0855853685084,278.143700886403,0,2538.5177892818997,2578,96,0,429,294,142,999
53033023700,6725.849080857586,25381.49000811232,13539.869660771172,11584.70355864203,1738,3938,1573,16360,1016,3002,25889
53033023801,1116.7753934462287,1120.6478088056836,810.9938474062445,265.718476089534,1286,0,0,3821,331,741,5064
