houseid,personid,trpmiles,trippurp
40437656,02,2.741,HBSHOP
40528870,02,3.118,HBSHOP
40328302,02,4.96,HBSHOP
30502689,01,7.453,HBSOCREC
30121309,01,1.785,NHB
40147150,02,2.459,HBW
40249983,01,2.994,NHB
40733138,02,5.316,NHB
40128907,02,5.717,NHB
30072791,01,68.742,NHB
30149436,01,3.567,NHB
30030062,01,17.845,HBW
40028712,01,0.682,NHB
40226324,01,9.088,NHB
40432989,02,4.6,HBSHOP
40126190,02,5.013,HBW
30540522,01,2.491,HBO
40028012,03,23.167,HBW
40682961,01,11.104,NHB
30479517,01,2.182,HBSHOP
30401014,01,20.003,HBSHOP
40756807,04,2.538,NHB
30268662,01,0.466,HBSOCREC
30024326,01,0,HBSHOP
40739741,01,4.003,NHB
30265608,01,1.503,HBSHOP
30329632,02,3.087,HBO
40075370,02,5.859,HBSOCREC
30243060,02,10.076,NHB
30278974,02,3.692,HBSHOP
40791699,05,11.06,NHB
30284441,01,0.477,HBSHOP
30044464,01,17.544,HBO
30511070,02,3.457,HBSHOP
40505622,02,1.5,HBO
40369415,01,11.774,NHB
40185214,01,0.982,NHB
30532679,01,0.981,NHB
40324793,01,4.161,HBSHOP
40415761,02,11.902,NHB
30207286,01,1.934,HBSHOP
40429393,02,3.503,NHB
30439505,01,5.306,NHB
30536583,05,1.266,HBO
30313557,01,0.662,HBSHOP
30454678,03,4.309,HBO
30551812,01,2.777,NHB
30278831,01,0.279,NHB
40264152,01,1.72,NHB
30392570,01,3.442,HBO
40342324,01,0.32,HBSHOP
30256185,01,1.255,NHB
30538561,02,0.198,HBO
30153951,02,2.566,HBW
30359494,01,1.591,HBO
30377179,03,32.774,NHB
40370022,05,0.634,HBO
30192296,03,0.708,HBSOCREC
30099940,01,12.379,HBW
30232845,01,0.272,NHB
30457892,01,22.588,HBSHOP
30528100,01,1.72,NHB
40063476,02,4.713,NHB
40206788,02,1.772,HBO
40380051,03,11.126,HBO
30076401,03,2.211,HBW
30050429,01,6.062,HBSHOP
30046310,02,0.814,HBSHOP
30360827,02,6.319,NHB
30303604,01,96.758,HBO
30105734,01,14.021,NHB
40528622,01,49.395,NHB
30269886,01,11.342,NHB
40173372,01,2.472,HBSOCREC
40791224,01,14.308,HBW
40238128,01,3.418,HBSHOP
30209508,01,6.603,HBO
40257731,01,2.218,HBSOCREC
30291561,02,1.217,HBSHOP
40488858,06,1.582,HBO
40413588,01,78.704,HBSOCREC
30149363,01,3.378,HBW
40491640,01,6.9,NHB
30089883,03,13.929,HBW
30149388,02,1.995,HBSHOP
30434819,01,5.329,NHB
40436883,02,1.086,NHB
40497095,01,2.209,NHB
40626165,01,6.382,HBSHOP
30216815,01,6.34,NHB
30543052,03,0.437,NHB
40529424,01,0.186,NHB
30278124,03,1.337,HBSOCREC
40513561,04,0.072,HBSOCREC
30367359,02,9.1,NHB
40626631,01,2.441,HBSHOP
40624425,02,23.192,HBSHOP
30268867,01,8.553,NHB
30245294,01,0.196,NHB
40714353,01,0.404,HBSHOP
30482460,02,1.521,HBO
40671001,02,2.908,NHB
30383080,01,6.419,HBO
30276056,03,31.2,HBO
30202936,03,0.5,HBO
30325097,01,17.305,NHB
30470933,04,5.169,HBO
30324960,04,13.07,NHB
30376560,01,2.282,HBW
40003955,01,0.223,NHB
40514217,02,33.12,NHB
40744512,01,0.259,NHB
40528255,01,17.953,NHB
30151679,03,0.084,HBO
30263823,01,5.916,HBSHOP
40109156,02,0.484,NHB
30511810,02,4.024,NHB
40022976,01,5.624,HBW
40283886,03,0.645,NHB
30006138,01,0.454,NHB
40581540,01,16.036,HBSOCREC
40724575,05,7.142,HBO
30471257,02,1946.47,NHB
40588682,01,11.187,NHB
30328365,02,2.624,NHB
40637074,04,4.095,HBO
40739144,04,8.216,HBO
40017077,02,1.637,HBO
40258291,01,1.058,NHB
40549619,07,24.961,HBSHOP
30181594,01,5.123,HBW
40019196,02,8.233,NHB
40665974,01,23.582,HBW
30478292,01,6.515,HBSHOP
30286464,04,15.626,NHB
30274256,01,11.246,HBSOCREC
40707145,02,0.222,HBSOCREC
30092917,01,1.942,NHB
40344069,02,30.402,NHB
40344198,02,2.76,NHB
30295329,02,4.42,HBO
40433221,01,0.76,HBO
40462306,01,0.552,HBO
40640107,01,112.137,HBSOCREC
30458824,01,0.183,NHB
30204888,03,136.156,NHB
40140185,01,18.431,HBW
40761314,01,3.213,NHB
30320384,01,0.232,NHB
30438291,01,5.086,HBW
40086670,06,1.175,HBO
40682987,01,4.864,NHB
30348885,02,1.085,HBO
40559670,01,1.397,NHB
40762535,02,2.998,HBSHOP
30212679,01,20.969,HBSOCREC
30498142,02,51.681,NHB
40305945,01,3.317,NHB
30335718,02,96.238,HBSHOP
30413808,01,0.112,NHB
30230375,01,10.815,HBSOCREC
40696339,01,0.919,HBSHOP
40400869,01,2.256,HBSHOP
30225638,04,1.213,HBO
30511685,01,2.869,HBSOCREC
30409421,02,6.196,NHB
40438748,02,2.74,HBSOCREC
30524726,01,1.197,HBSOCREC
30417120,01,8.509,HBO
40238602,02,5.707,HBSOCREC
30454529,02,2.44,HBSHOP
40629531,01,3.445,HBO
30002928,01,3.486,HBO
40220299,03,2.558,HBSHOP
30198083,01,5.836,NHB
30507193,01,0.082,NHB
30122253,01,7.335,HBW
40733603,03,37.196,HBW
40129624,02,3.73,HBSHOP
30431992,02,1.79,NHB
30158451,02,20.073,HBW
40516543,01,2.889,NHB
40650645,02,0.817,HBSHOP
30341003,03,0.613,NHB
30485930,02,24.922,HBW
30468666,03,0.055,NHB
30450338,01,2.489,NHB
40346248,02,15.773,HBW
40749571,01,176.273,NHB
40793035,02,133.705,NHB
40308871,01,4.447,HBSHOP
30358033,01,0.667,HBSOCREC
40082430,02,0.81,NHB
30333123,01,2.094,HBO
30525492,02,2.384,NHB
30336208,01,1.539,NHB
30390490,02,7.304,HBSHOP
30104021,01,0.765,NHB
40610776,01,0.665,HBSHOP
30327787,02,11.131,HBW
40016470,01,808.366,NHB
40576877,01,9.176,HBSHOP
40354667,01,0.702,HBSHOP
40369047,02,14.752,HBSOCREC
40129075,05,0.597,HBO
30428559,01,17.486,HBW
30024514,01,2.442,HBSHOP
30461447,01,2.265,HBSHOP
30032777,02,2.854,HBSOCREC
30168386,04,10.929,HBO
40219339,02,19.576,HBW
30485162,01,2.4,HBSOCREC
30508728,02,3.331,HBW
30303625,01,1.542,NHB
30382139,01,15.192,NHB
40275469,03,1.412,HBO
40504624,01,5.187,HBO
30349846,04,0.387,HBSOCREC
40301658,02,36.404,HBO
30263801,02,12.601,HBW
30019237,03,0.519,NHB
40337324,01,1.754,NHB
40775646,02,0.472,HBO
40414715,01,2.992,HBO
40136265,02,3.085,HBSHOP
30272896,02,0.502,HBW
40420821,05,1.065,HBO
30340205,02,0.359,NHB
30408689,01,4.18,HBSHOP
40256896,03,0.753,HBO
30180798,02,1.588,NHB
30118094,02,1.239,NHB
40333733,02,2.365,HBW
40649067,01,16.681,NHB
40160008,01,8.739,HBW
30244531,02,4.638,NHB
40621076,02,10.344,HBSHOP
30554597,02,2.171,NHB
30305108,02,6.275,HBSHOP
30281818,01,19.668,NHB
30377650,02,0.682,NHB
30511843,01,0.696,NHB
30007887,01,53.032,NHB
30537403,02,19.967,HBSOCREC
30329292,01,2.035,NHB
30379098,01,1.294,NHB
30457824,01,0.781,NHB
40020674,01,0.307,NHB
40240554,02,10.104,HBO
40647737,01,0.653,HBSOCREC
